ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"85.30.215.48","elite","AS42610","RU","National Cable Networks","294","N/A","60541","socks4","61","1","2023-02-24T17:08:37.358Z","34","346","1032"
"212.200.161.241","elite","AS8400","RS","TELEKOM SRBIJA a.d.","31","Admira DOO Kragujevac","5678","socks5","51","1","2023-02-24T17:08:37.686Z","100","1023","1027"
"212.83.182.139","elite","AS12876","FR","Online","1","Free SAS","5836","socks4","55","1","2023-02-24T17:08:36.697Z","91","967","1068"
"119.148.103.1","elite","AS18109","BD","Nasrin Sultana","202","N/A","4153","socks4","49","1","2023-02-24T17:08:35.788Z","98","1096","1115"
"181.209.96.229","elite","AS52361","AR","ARSAT - Empresa Argentina de Soluciones Satelitales S.A.","265","ARSAT - Empresa Argentina de Soluciones Satelitales S.A","4153","socks4","68","1","2023-02-24T17:08:34.131Z","100","1120","1120"
"46.231.72.35","elite","AS34093","CZ","NWT","68","N/A","5678","socks4","60","1","2023-02-24T17:08:34.159Z","97","1039","1069"
"85.117.56.151","anonymous","AS20771","GE","Caucasus Online Ltd.","60","Caucasus","8080","http","50","119","2023-02-24T17:08:33.531Z","97","969","1002"
"179.51.162.8","elite","AS272008","PE","Telecable Central Network Sociedad Anonima Cerrada","195","Telecable Central Network Sociedad Anonima Cerrada","9898","socks4","51","1","2023-02-24T17:08:32.545Z","70","749","1064"
"110.44.113.162","elite","AS45650","NP","Vianet Communications Pvt. Ltd","190","Vianet Communications Pvt. Ltd","5678","socks4","67","1","2023-02-24T17:08:31.601Z","99","1105","1121"
"24.9.18.47","elite","AS7922","US","Comcast Cable Communications, LLC","133","Comcast Cable Communications","21231","socks5","56","1","2023-02-24T17:08:31.058Z","100","1012","1015"
"190.120.250.31","elite","AS264628","VE","CORPORACION FIBEX TELECOM, C.A.","142","TV Cable Litoral C.A","4145","socks4","59","1","2023-02-24T17:08:31.804Z","100","1073","1076"
"203.176.141.166","elite","AS38235","KH","Angkor Data Communication","170","Mekongnet","4145","socks4","81","1","2023-02-24T17:08:30.174Z","99","1075","1081"
"36.89.74.140","elite","AS7713","ID","PT. Telekomunikasi Indonesia","221","Telekomunikasi Indonesia","5678","socks4","106","1","2023-02-24T17:08:30.930Z","96","1071","1121"
"202.43.182.3","elite","AS131111","ID","CEPATNET","176","N/A","4153","socks4","58","1","2023-02-24T17:08:30.017Z","99","995","1004"
"109.69.161.131","elite","AS196838","AL","\"Albanian Satellite Communications\" sh.p.k.","60","TRING Rural Static IP","10801","socks4","83","1","2023-02-24T17:08:30.862Z","99","1033","1043"
"117.241.133.31","elite","AS9829","IN","BSNL Internet","207","N/A","5678","socks4","91","1","2023-02-24T17:08:30.761Z","97","1036","1073"
"118.218.126.54","elite","AS9318","KR","SK Broadband Co Ltd","258","broadNnet","9400","socks4","51","1","2023-02-24T17:08:30.488Z","100","1027","1031"
